File: TestRepresentativePottsBasedOnLatticeSimulation
Type: cpu
Showing nodes accounting for 3846ms, 81.40% of 4725ms total
Dropped 609 nodes (cum <= 23.62ms)
      flat  flat%   sum%        cum   cum%
         0     0%     0%     4524ms 95.75%  __libc_start_call_main
         0     0%     0%     4524ms 95.75%  __libc_start_main_impl
         0     0%     0%     4524ms 95.75%  _start
         0     0%     0%     4505ms 95.34%  main
         0     0%     0%     4465ms 94.50%  TestRepresentativePottsBasedOnLatticeSimulation::TestPottsMonolayerCellSorting
         0     0%     0%     4455ms 94.29%  AbstractCellBasedSimulation::Solve
         0     0%     0%     4124ms 87.28%  AbstractCellPopulation::WriteResultsToFiles
      41ms  0.87%  0.87%     3914ms 82.84%  PottsBasedCellPopulation::WriteVtkResultsToFile
         0     0%  0.87%     1968ms 41.65%  VertexMeshWriter::WriteVtkUsingMesh
       7ms  0.15%  1.02%     1690ms 35.77%  VertexMeshWriter::MakeVtkMesh
         0     0%  1.02%     1243ms 26.31%  vtkPolygon::New
       2ms 0.042%  1.06%     1243ms 26.31%  vtkPolygon::vtkPolygon
       3ms 0.063%  1.12%      872ms 18.46%  vtkCell::vtkCell
       4ms 0.085%  1.21%      750ms 15.87%  vtkPoints::New
       9ms  0.19%  1.40%      709ms 15.01%  vtkPoints::vtkPoints
      29ms  0.61%  2.01%      687ms 14.54%  operator new
       2ms 0.042%  2.05%      662ms 14.01%  VertexMeshWriter::WriteFiles
     195ms  4.13%  6.18%      659ms 13.95%  __GI___libc_malloc
      44ms  0.93%  7.11%      624ms 13.21%  std::ostream::_M_insert
       2ms 0.042%  7.15%      593ms 12.55%  vtkLine::New
       1ms 0.021%  7.17%      583ms 12.34%  vtkQuad::New
       2ms 0.042%  7.22%      580ms 12.28%  vtkQuad::vtkQuad
       6ms  0.13%  7.34%      575ms 12.17%  vtkLine::vtkLine
         0     0%  7.34%      566ms 11.98%  vtkStreamingDemandDrivenPipeline::Update
         0     0%  7.34%      566ms 11.98%  vtkXMLWriterBase::Write
         0     0%  7.34%      564ms 11.94%  vtkDemandDrivenPipeline::ProcessRequest
         0     0%  7.34%      562ms 11.89%  vtkStreamingDemandDrivenPipeline::ProcessRequest
         0     0%  7.34%      560ms 11.85%  vtkDemandDrivenPipeline::ExecuteData
         0     0%  7.34%      560ms 11.85%  vtkExecutive::CallAlgorithm
         0     0%  7.34%      559ms 11.83%  vtkXMLUnstructuredDataWriter::ProcessRequest
         0     0%  7.34%      558ms 11.81%  vtkCompositeDataPipeline::ExecuteData
       1ms 0.021%  7.37%      544ms 11.51%  vtkTriangle::New
       7ms  0.15%  7.51%      536ms 11.34%  vtkTriangle::vtkTriangle
         0     0%  7.51%      504ms 10.67%  vtkXMLUnstructuredDataWriter::WriteAPiece
         0     0%  7.51%      504ms 10.67%  vtkXMLUnstructuredGridWriter::WriteAppendedPieceData
      47ms  0.99%  8.51%      495ms 10.48%  std::num_put::_M_insert_float
     110ms  2.33% 10.84%      468ms  9.90%  __GI___libc_free
         0     0% 10.84%      456ms  9.65%  vtkXMLWriter::WriteBinaryData
         0     0% 10.84%      447ms  9.46%  vtkXMLWriter::WriteBinaryDataBlock
         0     0% 10.84%      447ms  9.46%  vtkXMLWriter::WriteBinaryDataInternal
      24ms  0.51% 11.34%      437ms  9.25%  vtkPoints::SetDataType
         0     0% 11.34%      427ms  9.04%  vtkXMLUnstructuredDataWriter::WriteAppendedPieceData
      12ms  0.25% 11.60%      399ms  8.44%  std::__cxx11::collate::do_transform
       3ms 0.063% 11.66%      393ms  8.32%  vtkPolygon::~vtkPolygon
     272ms  5.76% 17.42%      392ms  8.30%  _int_malloc
       2ms 0.042% 17.46%      378ms  8.00%  ___vsnprintf
       2ms 0.042% 17.50%      376ms  7.96%  __vsnprintf_internal (inline)
      52ms  1.10% 18.60%      366ms  7.75%  __printf_buffer
     214ms  4.53% 23.13%      353ms  7.47%  _int_free
       2ms 0.042% 23.17%      334ms  7.07%  AbstractTetrahedralMeshWriter::WriteFilesUsingMesh
