File: TestRepresentative3dNodeBasedSimulation
Type: cpu
Showing nodes accounting for 21398ms, 91.75% of 23323ms total
Dropped 601 nodes (cum <= 116.61ms)
      flat  flat%   sum%        cum   cum%
         0     0%     0%    23195ms 99.45%  __libc_start_call_main
         0     0%     0%    23195ms 99.45%  __libc_start_main_impl
         0     0%     0%    23195ms 99.45%  _start
         0     0%     0%    23180ms 99.39%  main
         0     0%     0%    23145ms 99.24%  Test3dTissueRepresentativeSimulation::Test3dNodeBasedInBoxWithSloughing
         0     0%     0%    23137ms 99.20%  AbstractCellBasedSimulation::Solve
      60ms  0.26%  0.26%    13125ms 56.27%  OffLatticeSimulation::UpdateCellLocationsAndTopology
         0     0%  0.26%     8842ms 37.91%  AbstractCellBasedSimulation::UpdateCellPopulation
       6ms 0.026%  0.28%     8258ms 35.41%  ForwardEulerNumericalMethod::UpdateAllNodePositions
      26ms  0.11%  0.39%     8098ms 34.72%  AbstractNumericalMethod::ComputeForcesIncludingDamping
         0     0%  0.39%     7812ms 33.49%  NodeBasedCellPopulation::Update
    1759ms  7.54%  7.94%     7476ms 32.05%  RepulsionForce::AddForceContribution
      26ms  0.11%  8.05%     5740ms 24.61%  DistributedBoxCollection::CalculateInteriorNodePairs
       1ms 0.0043%  8.05%     4588ms 19.67%  OffLatticeSimulation::ApplyBoundaries
    2013ms  8.63% 16.68%     4534ms 19.44%  NodeAttributes::RemoveDuplicateNeighbours
     280ms  1.20% 17.88%     3738ms 16.03%  GeneralisedLinearSpringForce::CalculateForceBetweenNodes
     254ms  1.09% 18.97%     2964ms 12.71%  AbstractCentreBasedCellPopulation::IsCellAssociatedWithADeletedLocation
    2517ms 10.79% 29.76%     2517ms 10.79%  std::__introsort_loop
     202ms  0.87% 30.63%     2390ms 10.25%  PlaneBoundaryCondition::ImposeBoundaryCondition
     158ms  0.68% 31.31%     2274ms  9.75%  AbstractMesh::GetNode
      44ms  0.19% 31.50%     2258ms  9.68%  NodesOnlyMesh::GetNodeOrHaloNode
     253ms  1.08% 32.58%     2197ms  9.42%  PlaneBoundaryCondition::VerifyBoundaryCondition
    1122ms  4.81% 37.39%     2195ms  9.41%  AbstractCellPopulation::GetLocationIndexUsingCell
    2119ms  9.09% 46.48%     2119ms  9.09%  NodesOnlyMesh::SolveNodeMapping
    1966ms  8.43% 54.91%     2015ms  8.64%  std::map::operator[]
     311ms  1.33% 56.24%     1868ms  8.01%  DistributedBoxCollection::AddPairsFromBox
      71ms   0.3% 56.55%     1413ms  6.06%  AbstractCellPopulation::GetCellUsingLocationIndex
      41ms  0.18% 56.72%     1408ms  6.04%  NodeBasedCellPopulation::GetCellUsingLocationIndex
       1ms 0.0043% 56.73%     1144ms  4.91%  NodeBasedCellPopulation::UpdateCellProcessLocation
       6ms 0.026% 56.75%     1090ms  4.67%  DistributedBoxCollection::CalculateBoundaryNodePairs
     267ms  1.14% 57.90%      903ms  3.87%  __dynamic_cast
     212ms  0.91% 58.80%      811ms  3.48%  AbstractMesh::GetVectorFromAtoB
     100ms  0.43% 59.23%      753ms  3.23%  AbstractCentreBasedCellPopulation::GetLocationOfCellCentre
         0     0% 59.23%      723ms  3.10%  AbstractCellPopulation::WriteResultsToFiles
     419ms  1.80% 61.03%      721ms  3.09%  DistributedBoxCollection::CalculateContainingBox
     707ms  3.03% 64.06%      709ms  3.04%  NodeAttributes::AddNeighbour
     671ms  2.88% 66.94%      671ms  2.88%  __memcpy_avx_unaligned_erms
     413ms  1.77% 68.71%      643ms  2.76%  boost::numeric::ublas::indexing_vector_assign
      81ms  0.35% 69.06%      563ms  2.41%  AbstractCellBasedSimulation::DoCellBirth
       4ms 0.017% 69.07%      552ms  2.37%  AbstractCentreBasedCellPopulation::GetDampingConstant
     267ms  1.14% 70.22%      536ms  2.30%  __cxxabiv1::__si_class_type_info::__do_dyncast
     520ms  2.23% 72.45%      520ms  2.23%  std::_Rb_tree_increment
      21ms  0.09% 72.54%      473ms  2.03%  NodeBasedCellPopulation::WriteVtkResultsToFile
     473ms  2.03% 74.57%      473ms  2.03%  boost::numeric::ublas::same_impl_ex
