File: TestMonodomainSlabLong
Type: cpu
Showing nodes accounting for 12622ms, 85.78% of 14715ms total
Dropped 648 nodes (cum <= 73.58ms)
      flat  flat%   sum%        cum   cum%
         0     0%     0%    14705ms 99.93%  __libc_start_call_main
         0     0%     0%    14705ms 99.93%  __libc_start_main_impl
         0     0%     0%    14705ms 99.93%  _start
         0     0%     0%    14702ms 99.91%  main
         0     0%     0%    14662ms 99.64%  TestMonodomainSlabLong::TestMonodomainSlabLongWithCornerNodesStimulated
       3ms  0.02%  0.02%    14638ms 99.48%  AbstractCardiacProblem::Solve
       2ms 0.014% 0.034%    11292ms 76.74%  AbstractDynamicLinearPdeSolver::Solve
     203ms  1.38%  1.41%     8867ms 60.26%  AbstractCardiacTissue::SolveCellSystems
     120ms  0.82%  2.23%     5304ms 36.04%  AbstractCardiacCell::ComputeExceptVoltage
     118ms   0.8%  3.03%     4603ms 31.28%  AbstractOneStepIvpOdeSolver::InternalSolve
     158ms  1.07%  4.10%     3944ms 26.80%  EulerIvpOdeSolver::CalculateNextYValue
     905ms  6.15% 10.25%     3756ms 25.52%  CellLuoRudy1991FromCellML::EvaluateYDerivatives
    1647ms 11.19% 21.45%     3377ms 22.95%  __GI___exp
         0     0% 21.45%     3278ms 22.28%  MonodomainProblem::WriteOneStep
       3ms  0.02% 21.47%     3145ms 21.37%  Hdf5DataWriter::PutVector
       1ms 0.0068% 21.47%     3118ms 21.19%  H5Dwrite
       1ms 0.0068% 21.48%     3096ms 21.04%  H5D__write
     809ms  5.50% 26.98%     2621ms 17.81%  CellLuoRudy1991FromCellML::GetIIonic
         0     0% 26.98%     1924ms 13.08%  H5D__chunk_collective_write
      14ms 0.095% 27.07%     1924ms 13.08%  H5F_set_coll_metadata_reads
      14ms 0.095% 27.17%     1690ms 11.48%  H5FD_s3comms_uriencode
    1354ms  9.20% 36.37%     1657ms 11.26%  __ieee754_exp_fma
       3ms  0.02% 36.39%     1572ms 10.68%  LinearSystem::Solve
         0     0% 36.39%     1462ms  9.94%  KSPSolve
       3ms  0.02% 36.41%     1462ms  9.94%  KSPSolve_Private
       5ms 0.034% 36.45%     1453ms  9.87%  KSPSolve_CG
      55ms  0.37% 36.82%     1365ms  9.28%  <unknown>
       2ms 0.014% 36.83%     1355ms  9.21%  H5F_block_write
         0     0% 36.83%     1353ms  9.19%  H5PB_write
       1ms 0.0068% 36.84%     1352ms  9.19%  H5F__accum_write
       1ms 0.0068% 36.85%     1351ms  9.18%  H5FD_write
       3ms  0.02% 36.87%     1269ms  8.62%  H5D__mpio_select_write
         0     0% 36.87%     1154ms  7.84%  PMPI_File_write_at_all
    1129ms  7.67% 44.54%     1132ms  7.69%  __GI_pwritev64
       6ms 0.041% 44.58%     1069ms  7.26%  H5D__chunk_cacheable
      91ms  0.62% 45.20%      982ms  6.67%  __pow
     286ms  1.94% 47.14%      908ms  6.17%  H5S_select_iterate
      78ms  0.53% 47.67%      890ms  6.05%  __ieee754_pow_fma
     423ms  2.87% 50.55%      833ms  5.66%  MonodomainSolver::SetupLinearSystem
         0     0% 50.55%      825ms  5.61%  PCApply
       1ms 0.0068% 50.55%      819ms  5.57%  PCApply_BJacobi_Singleblock
       1ms 0.0068% 50.56%      778ms  5.29%  KSPSolve_PREONLY
         0     0% 50.56%      774ms  5.26%  MatSolve
     768ms  5.22% 55.78%      774ms  5.26%  MatSolve_SeqSBAIJ_1_NaturalOrdering
         0     0% 55.78%      774ms  5.26%  PCApply_ICC
      78ms  0.53% 56.31%      636ms  4.32%  H5D__chunk_set_sizes
       1ms 0.0068% 56.32%      517ms  3.51%  MatMult
     512ms  3.48% 59.80%      516ms  3.51%  MatMult_SeqAIJ
         0     0% 59.80%      479ms  3.26%  KSP_PCApply.lto_priv.7
     443ms  3.01% 62.81%      443ms  3.01%  log_inline (inline)
      61ms  0.41% 63.22%      429ms  2.92%  H5S_mpio_space_type
     331ms  2.25% 65.47%      426ms  2.90%  CellLuoRudy1991FromCellML::VerifyStateVariables
         0     0% 65.47%      426ms  2.90%  KSPConvergedDefault
         0     0% 65.47%      346ms  2.35%  KSP_PCApply
     326ms  2.22% 67.69%      338ms  2.30%  exp_inline (inline)
     277ms  1.88% 69.57%      277ms  1.88%  [libchaste_heart.so]
     121ms  0.82% 70.39%      275ms  1.87%  TimeStepper::TimeStepper
     201ms  1.37% 71.76%      267ms  1.81%  top12 (inline)
      41ms  0.28% 72.04%      204ms  1.39%  __GI___libc_malloc
      10ms 0.068% 72.10%      194ms  1.32%  MPI_Type_free
     152ms  1.03% 73.14%      193ms  1.31%  _int_malloc
      12ms 0.082% 73.22%      191ms  1.30%  H5VM_chunk_index
       7ms 0.048% 73.27%      191ms  1.30%  ompi_datatype_destroy
      37ms  0.25% 73.52%      182ms  1.24%  __GI___libc_free
     177ms  1.20% 74.72%      177ms  1.20%  ddot_
     170ms  1.16% 75.87%      170ms  1.16%  TimeStepper::CalculateNextTime
      30ms   0.2% 76.08%      169ms  1.15%  ompi_datatype_release_args
       6ms 0.041% 76.12%      169ms  1.15%  ompi_info_register_framework_params
       9ms 0.061% 76.18%      168ms  1.14%  ompi_datatype_create
     124ms  0.84% 77.02%      151ms  1.03%  AbstractOneStepIvpOdeSolver::Solve
      73ms   0.5% 77.52%      150ms  1.02%  AbstractCardiacCellInterface::SetVoltageDerivativeToZero
     145ms  0.99% 78.50%      145ms  0.99%  asuint64 (inline)
     121ms  0.82% 79.33%      143ms  0.97%  AbstractIvpOdeSolver::SolveAndUpdateStateVariable
      60ms  0.41% 79.73%      143ms  0.97%  _int_free
      27ms  0.18% 79.92%      139ms  0.94%  H5S_set_version
         0     0% 79.92%      133ms   0.9%  Hdf5DataWriter::PutUnlimitedVariable
     132ms   0.9% 80.82%      132ms   0.9%  AbstractParameterisedSystem::SetAnyVariable
       2ms 0.014% 80.83%      129ms  0.88%  PMPI_File_set_view
       1ms 0.0068% 80.84%      115ms  0.78%  VecNorm
      38ms  0.26% 81.09%      114ms  0.77%  AbstractCardiacCell::SetVoltage
     114ms  0.77% 81.87%      114ms  0.77%  AbstractParameterisedSystem::GetAnyVariable
      55ms  0.37% 82.24%      114ms  0.77%  H5S_hyper_add_span_element
      49ms  0.33% 82.58%      112ms  0.76%  H5VM_array_calc
       2ms 0.014% 82.59%      108ms  0.73%  VecNorm_Seq
     106ms  0.72% 83.31%      106ms  0.72%  __memcpy_avx_unaligned_erms
         0     0% 83.31%      103ms   0.7%  VecTDot
         0     0% 83.31%      103ms   0.7%  VecTDot_Seq
         0     0% 83.31%      103ms   0.7%  VecXDot_Seq_Private.constprop.0
      94ms  0.64% 83.95%       94ms  0.64%  H5VM_chunk_index_scaled
       1ms 0.0068% 83.96%       94ms  0.64%  VecDuplicate
       1ms 0.0068% 83.96%       93ms  0.63%  VecDuplicate_MPI
      91ms  0.62% 84.58%       91ms  0.62%  __ieee754_log_fma
         0     0% 84.58%       90ms  0.61%  ompi_datatype_duplicate
       3ms  0.02% 84.60%       86ms  0.58%  PMPI_Type_create_resized
      85ms  0.58% 85.18%       85ms  0.58%  H5VM_array_offset_pre
      14ms 0.095% 85.27%       79ms  0.54%  opal_dss_print_buffer_contents
