File: TestRepresentativePottsBasedOnLatticeSimulation
Type: cpu
Showing nodes accounting for 3995ms, 80.40% of 4969ms total
Dropped 769 nodes (cum <= 24.84ms)
      flat  flat%   sum%        cum   cum%
         0     0%     0%     4784ms 96.28%  __libc_start_call_main
         0     0%     0%     4784ms 96.28%  __libc_start_main_impl
         0     0%     0%     4784ms 96.28%  _start
         0     0%     0%     4767ms 95.93%  CxxTest::ErrorFormatter::run (inline)
         0     0%     0%     4767ms 95.93%  CxxTest::TestRunner::runAllTests (inline)
         0     0%     0%     4767ms 95.93%  CxxTest::TestRunner::runWorld (inline)
         0     0%     0%     4767ms 95.93%  main
         0     0%     0%     4722ms 95.03%  CxxTest::TestRunner::runSuite (inline)
         0     0%     0%     4722ms 95.03%  CxxTest::TestRunner::runTest (inline)
         0     0%     0%     4722ms 95.03%  TestRepresentativePottsBasedOnLatticeSimulation::TestPottsMonolayerCellSorting
         0     0%     0%     4711ms 94.81%  AbstractCellBasedSimulation::Solve
         0     0%     0%     4355ms 87.64%  AbstractCellPopulation::WriteResultsToFiles
      13ms  0.26%  0.26%     4132ms 83.16%  PottsBasedCellPopulation::WriteVtkResultsToFile
         0     0%  0.26%     2027ms 40.79%  VertexMeshWriter::WriteVtkUsingMesh
       3ms  0.06%  0.32%     1723ms 34.67%  VertexMeshWriter::MakeVtkMesh
         0     0%  0.32%     1290ms 25.96%  vtkPolygon::New
       2ms  0.04%  0.36%     1288ms 25.92%  vtkPolygon::vtkPolygon
       4ms  0.08%  0.44%      934ms 18.80%  vtkCell::vtkCell
       4ms  0.08%  0.52%      812ms 16.34%  vtkPoints::New
      16ms  0.32%  0.85%      753ms 15.15%  vtkPoints::vtkPoints
       2ms  0.04%  0.89%      712ms 14.33%  VertexMeshWriter::WriteFiles
      54ms  1.09%  1.97%      650ms 13.08%  std::ostream::_M_insert
         0     0%  1.97%      648ms 13.04%  std::ostream::operator<< (inline)
      31ms  0.62%  2.60%      621ms 12.50%  operator new
