File: TestMonodomainSlabLong
Type: cpu
Showing nodes accounting for 8479ms, 84.38% of 10048ms total
Dropped 641 nodes (cum <= 50.24ms)
      flat  flat%   sum%        cum   cum%
         0     0%     0%    10042ms 99.94%  __libc_start_call_main
         0     0%     0%    10042ms 99.94%  __libc_start_main_impl
         0     0%     0%    10042ms 99.94%  _start
         0     0%     0%    10039ms 99.91%  CxxTest::ErrorFormatter::run (inline)
         0     0%     0%    10039ms 99.91%  CxxTest::TestRunner::runAllTests (inline)
         0     0%     0%    10039ms 99.91%  CxxTest::TestRunner::runWorld (inline)
         0     0%     0%    10039ms 99.91%  main
         0     0%     0%    10003ms 99.55%  CxxTest::TestRunner::runSuite (inline)
         0     0%     0%    10003ms 99.55%  CxxTest::TestRunner::runTest (inline)
         0     0%     0%    10003ms 99.55%  TestMonodomainSlabLong::TestMonodomainSlabLongWithCornerNodesStimulated
       1ms  0.01%  0.01%     9988ms 99.40%  AbstractCardiacProblem::Solve
       2ms  0.02%  0.03%     7157ms 71.23%  AbstractDynamicLinearPdeSolver::Solve
      24ms  0.24%  0.27%     3759ms 37.41%  AbstractCardiacTissue::SolveCellSystems
       2ms  0.02%  0.29%     2765ms 27.52%  MonodomainProblem::WriteOneStep
       1ms  0.01%   0.3%     2740ms 27.27%  LinearSystem::Solve
       3ms  0.03%  0.33%     2625ms 26.12%  Hdf5DataWriter::PutVector
         0     0%  0.33%     2622ms 26.09%  KSPSolve
       6ms  0.06%  0.39%     2622ms 26.09%  KSPSolve_Private
      13ms  0.13%  0.52%     2614ms 26.02%  KSPSolve_CG
       2ms  0.02%  0.54%     2610ms 25.98%  H5Dwrite
       7ms  0.07%  0.61%     2599ms 25.87%  H5D__write
      33ms  0.33%  0.94%     2322ms 23.11%  AbstractCardiacCell::ComputeExceptVoltage
      41ms  0.41%  1.34%     2079ms 20.69%  AbstractOneStepIvpOdeSolver::InternalSolve
      62ms  0.62%  1.96%     1869ms 18.60%  EulerIvpOdeSolver::CalculateNextYValue
     462ms  4.60%  6.56%     1783ms 17.74%  CellLuoRudy1991FromCellML::EvaluateYDerivatives
       2ms  0.02%  6.58%     1570ms 15.62%  PCApply
       7ms  0.07%  6.65%     1564ms 15.57%  PCApply_BJacobi_Singleblock
         0     0%  6.65%     1516ms 15.09%  KSPSolve_PREONLY
       2ms  0.02%  6.67%     1509ms 15.02%  MatSolve
         0     0%  6.67%     1509ms 15.02%  PCApply_ICC
    1500ms 14.93% 21.60%     1507ms 15.00%  MatSolve_SeqSBAIJ_1_NaturalOrdering
     537ms  5.34% 26.94%     1382ms 13.75%  __GI___exp
      10ms   0.1% 27.04%     1319ms 13.13%  H5D__chunk_cacheable
         0     0% 27.04%     1185ms 11.79%  H5D__chunk_collective_write
      11ms  0.11% 27.15%     1185ms 11.79%  H5F_set_coll_metadata_reads
     380ms  3.78% 30.93%     1145ms 11.40%  H5S_select_iterate
      36ms  0.36% 31.29%     1130ms 11.25%  AbstractCardiacTissue::UpdateCaches (inline)
     276ms  2.75% 34.04%     1055ms 10.50%  CellLuoRudy1991FromCellML::GetIIonic
       3ms  0.03% 34.07%     1055ms 10.50%  H5FD_s3comms_uriencode
         0     0% 34.07%     1039ms 10.34%  KSP_PCApply.lto_priv.7
       4ms  0.04% 34.11%      897ms  8.93%  MatMult
     893ms  8.89% 42.99%      893ms  8.89%  MatMult_SeqAIJ
      77ms  0.77% 43.76%      762ms  7.58%  H5D__chunk_set_sizes
     735ms  7.31% 51.07%      735ms  7.31%  __ieee754_exp_fma
      28ms  0.28% 51.35%      722ms  7.19%  <unknown>
       1ms  0.01% 51.36%      701ms  6.98%  H5F_block_write
         0     0% 51.36%      700ms  6.97%  H5FD_write
         0     0% 51.36%      700ms  6.97%  H5F__accum_write
         0     0% 51.36%      700ms  6.97%  H5PB_write
       7ms  0.07% 51.43%      652ms  6.49%  KSPConvergedDefault
     196ms  1.95% 53.38%      640ms  6.37%  MonodomainSolver::SetupLinearSystem
         0     0% 53.38%      617ms  6.14%  H5D__mpio_select_write
         0     0% 53.38%      579ms  5.76%  PMPI_File_write_at_all
     561ms  5.58% 58.97%      566ms  5.63%  __GI_pwritev64
         0     0% 58.97%      536ms  5.33%  KSP_PCApply
      13ms  0.13% 59.10%      465ms  4.63%  std::pow (inline)
      30ms   0.3% 59.39%      448ms  4.46%  __pow
      58ms  0.58% 59.97%      434ms  4.32%  H5S_mpio_space_type
      37ms  0.37% 60.34%      411ms  4.09%  __ieee754_pow_fma
     339ms  3.37% 63.71%      339ms  3.37%  [libchaste_heart.so]
      28ms  0.28% 63.99%      304ms  3.03%  H5VM_chunk_index
     239ms  2.38% 66.37%      239ms  2.38%  H5VM_chunk_index_scaled
     239ms  2.38% 68.75%      239ms  2.38%  ddot_
     100ms     1% 69.75%      233ms  2.32%  __GI___libc_malloc
     145ms  1.44% 71.19%      222ms  2.21%  CellLuoRudy1991FromCellML::VerifyStateVariables
     186ms  1.85% 73.04%      186ms  1.85%  log_inline (inline)
     163ms  1.62% 74.66%      184ms  1.83%  exp_inline (inline)
       7ms  0.07% 74.73%      163ms  1.62%  ompi_datatype_create
         0     0% 74.73%      153ms  1.52%  VecTDot
         0     0% 74.73%      151ms  1.50%  VecTDot_Seq
       1ms  0.01% 74.74%      151ms  1.50%  VecXDot_Seq_Private.constprop.0
     116ms  1.15% 75.90%      148ms  1.47%  _int_malloc
       2ms  0.02% 75.92%      139ms  1.38%  VecDuplicate
       4ms  0.04% 75.96%      138ms  1.37%  Hdf5DataWriter::PutUnlimitedVariable
       2ms  0.02% 75.98%      137ms  1.36%  VecDuplicate_MPI
      74ms  0.74% 76.71%      135ms  1.34%  H5S_hyper_add_span_element
      32ms  0.32% 77.03%      134ms  1.33%  H5S_set_version
       2ms  0.02% 77.05%      127ms  1.26%  VecNorm
     123ms  1.22% 78.27%      123ms  1.22%  [libm.so.6]
       1ms  0.01% 78.28%      117ms  1.16%  VecNorm_Seq
      19ms  0.19% 78.47%      109ms  1.08%  __GI___libc_free
       5ms  0.05% 78.52%      108ms  1.07%  MPI_Type_free
      15ms  0.15% 78.67%      105ms  1.04%  ompi_datatype_destroy
         0     0% 78.67%      103ms  1.03%  PMPI_Type_create_resized
      32ms  0.32% 78.99%      102ms  1.02%  H5VM_array_calc
      57ms  0.57% 79.56%       91ms  0.91%  _int_free
      30ms   0.3% 79.86%       89ms  0.89%  ompi_datatype_release_args
         0     0% 79.86%       89ms  0.89%  ompi_info_register_framework_params
      26ms  0.26% 80.12%       87ms  0.87%  ompi_datatype_set_args
       3ms  0.03% 80.15%       86ms  0.86%  ompi_datatype_duplicate
         0     0% 80.15%       83ms  0.83%  H5Pcreate
       5ms  0.05% 80.20%       79ms  0.79%  H5P_create_id
      41ms  0.41% 80.60%       75ms  0.75%  __libc_calloc
       1ms  0.01% 80.61%       73ms  0.73%  PMPI_Type_vector
       1ms  0.01% 80.62%       73ms  0.73%  VecCreate
       2ms  0.02% 80.64%       71ms  0.71%  PetscMallocA
      70ms   0.7% 81.34%       70ms   0.7%  __memcpy_avx512_unaligned_erms
       3ms  0.03% 81.37%       70ms   0.7%  opal_datatype_create_desc
       1ms  0.01% 81.38%       69ms  0.69%  MPI_Type_create_hindexed
       1ms  0.01% 81.39%       69ms  0.69%  PetscMallocAlign
      47ms  0.47% 81.86%       67ms  0.67%  H5S_select_iter_next
      66ms  0.66% 82.51%       66ms  0.66%  __ieee754_log_fma
       5ms  0.05% 82.56%       62ms  0.62%  H5S_copy
      35ms  0.35% 82.91%       61ms  0.61%  AbstractIvpOdeSolver::SolveAndUpdateStateVariable
       2ms  0.02% 82.93%       61ms  0.61%  H5S_combine_hyperslab
         0     0% 82.93%       61ms  0.61%  PMPI_File_set_view
       1ms  0.01% 82.94%       60ms   0.6%  H5D__chunk_allocated
      19ms  0.19% 83.13%       59ms  0.59%  AbstractCardiacCell::SetVoltage (partial-inline)
       8ms  0.08% 83.21%       58ms  0.58%  H5D__chunk_lookup
      29ms  0.29% 83.50%       58ms  0.58%  TimeStepper::TimeStepper
         0     0% 83.50%       57ms  0.57%  MPI_Type_contiguous
         0     0% 83.50%       56ms  0.56%  H5D__contig_fill
         0     0% 83.50%       56ms  0.56%  H5D__select_write
         0     0% 83.50%       56ms  0.56%  H5Dgather
       2ms  0.02% 83.52%       56ms  0.56%  H5VM_opvv
       1ms  0.01% 83.53%       55ms  0.55%  VecCreate_MPI_Private
       2ms  0.02% 83.55%       55ms  0.55%  __posix_memalign
         0     0% 83.55%       54ms  0.54%  H5D__contig_write
      25ms  0.25% 83.80%       54ms  0.54%  H5SL_search
         0     0% 83.80%       54ms  0.54%  PMPI_File_write_at
      53ms  0.53% 84.33%       53ms  0.53%  [libchaste_ode.so]
       2ms  0.02% 84.35%       51ms  0.51%  H5SL_insert
       1ms  0.01% 84.36%       51ms  0.51%  VecNorm_MPI
       3ms  0.03% 84.38%       51ms  0.51%  ompi_datatype_create_vector
