File: TestChasteBuildInfo
Type: cpu
Showing nodes accounting for 39ms, 100% of 39ms total
      flat  flat%   sum%        cum   cum%
         0     0%     0%       37ms 94.87%  CxxTest::ErrorFormatter::run (inline)
         0     0%     0%       37ms 94.87%  CxxTest::TestRunner::runAllTests (inline)
         0     0%     0%       37ms 94.87%  CxxTest::TestRunner::runWorld (inline)
         0     0%     0%       37ms 94.87%  __libc_start_call_main
         0     0%     0%       37ms 94.87%  __libc_start_main_impl
         0     0%     0%       37ms 94.87%  _start
         0     0%     0%       37ms 94.87%  main
         0     0%     0%       33ms 84.62%  CxxTest::RealWorldDescription::setUp
         0     0%     0%       33ms 84.62%  PetscInitialize
         0     0%     0%       33ms 84.62%  PetscSetup::setUpWorld
         0     0%     0%       33ms 84.62%  PetscSetupUtils::CommonSetup
         0     0%     0%       33ms 84.62%  PetscSetupUtils::InitialisePetsc
         0     0%     0%       32ms 82.05%  PMPI_Init_thread
         0     0%     0%       32ms 82.05%  ompi_mpi_init
         0     0%     0%       29ms 74.36%  <unknown>
         0     0%     0%       22ms 56.41%  orte_init
         0     0%     0%       14ms 35.90%  __GI__dl_catch_exception
         0     0%     0%       14ms 35.90%  _dl_catch_error
         0     0%     0%       14ms 35.90%  _dlerror_run
         0     0%     0%       14ms 35.90%  hwloc_topology_load
         0     0%     0%       14ms 35.90%  mca_base_framework_open
         0     0%     0%       14ms 35.90%  opal_stackframe_output
         0     0%     0%       13ms 33.33%  hwloc_linux_get_tid_last_cpu_location
         0     0%     0%       13ms 33.33%  mca_base_framework_register
         0     0%     0%       12ms 30.77%  mca_base_framework_components_register
         0     0%     0%       11ms 28.21%  ___dlopen
         0     0%     0%       11ms 28.21%  _dl_open
         0     0%     0%       11ms 28.21%  dl_open_worker
         0     0%     0%       11ms 28.21%  dlopen_doit
         0     0%     0%       11ms 28.21%  dlopen_implementation (inline)
         0     0%     0%       11ms 28.21%  mca_base_component_find
         0     0%     0%       11ms 28.21%  mca_base_component_repository_open
         0     0%     0%        7ms 17.95%  dl_open_worker_begin
         0     0%     0%        7ms 17.95%  opal_hwloc_base_get_topology
         0     0%     0%        7ms 17.95%  orte_ess_base_proc_binding
         0     0%     0%        6ms 15.38%  mca_base_framework_components_open
         0     0%     0%        6ms 15.38%  mca_topo_base_dist_graph_neighbors_count
       5ms 12.82% 12.82%        5ms 12.82%  __GI___libc_read
         0     0% 12.82%        5ms 12.82%  _dl_map_object
       1ms  2.56% 15.38%        4ms 10.26%  __GI___libc_malloc
         0     0% 15.38%        4ms 10.26%  _dl_init
         0     0% 15.38%        4ms 10.26%  call_init (inline)
         0     0% 15.38%        3ms  7.69%  CxxTest::RealWorldDescription::tearDown
         0     0% 15.38%        3ms  7.69%  PetscFinalize
         0     0% 15.38%        3ms  7.69%  PetscSetup::tearDownWorld
         0     0% 15.38%        3ms  7.69%  PetscSetupUtils::CommonFinalize
         0     0% 15.38%        3ms  7.69%  XOpenDisplay
         0     0% 15.38%        3ms  7.69%  [hwloc_gl.so]
         0     0% 15.38%        3ms  7.69%  [libxcb.so.1.1.0]
         0     0% 15.38%        3ms  7.69%  _XConnectXCB
       3ms  7.69% 23.08%        3ms  7.69%  __GI___clock_nanosleep
         0     0% 23.08%        3ms  7.69%  __GI___nanosleep
       3ms  7.69% 30.77%        3ms  7.69%  __GI_munmap
         0     0% 30.77%        3ms  7.69%  __dlclose
         0     0% 30.77%        3ms  7.69%  _dl_close
         0     0% 30.77%        3ms  7.69%  _dl_close_worker (inline)
         0     0% 30.77%        3ms  7.69%  _dl_unmap
         0     0% 30.77%        3ms  7.69%  _dl_unmap_segments (inline)
       3ms  7.69% 38.46%        3ms  7.69%  _int_malloc
         0     0% 38.46%        3ms  7.69%  ompi_mpi_finalize
       3ms  7.69% 46.15%        3ms  7.69%  strcmp
         0     0% 46.15%        3ms  7.69%  usleep
         0     0% 46.15%        3ms  7.69%  xcb_connect_to_display_with_auth_info
         0     0% 46.15%        2ms  5.13%  [hwloc_pci.so]
         0     0% 46.15%        2ms  5.13%  [libpciaccess.so.0.11.1]
       2ms  5.13% 51.28%        2ms  5.13%  __GI___open64_nocancel
         0     0% 51.28%        2ms  5.13%  __GI_getaddrinfo
         0     0% 51.28%        2ms  5.13%  _dl_fixup
         0     0% 51.28%        2ms  5.13%  _dl_lookup_symbol_x
         0     0% 51.28%        2ms  5.13%  _dl_map_object_deps
         0     0% 51.28%        2ms  5.13%  _dl_open_relocate_one_object (inline)
         0     0% 51.28%        2ms  5.13%  _dl_relocate_object
         0     0% 51.28%        2ms  5.13%  _dl_runtime_resolve_xsavec
         0     0% 51.28%        2ms  5.13%  clone3
       1ms  2.56% 53.85%        2ms  5.13%  do_lookup_x
         0     0% 53.85%        2ms  5.13%  event_base_loop
         0     0% 53.85%        2ms  5.13%  event_del_nolock_
         0     0% 53.85%        2ms  5.13%  gzgets
         0     0% 53.85%        2ms  5.13%  hwloc_topology_export_xmlbuffer
         0     0% 53.85%        2ms  5.13%  mca_base_component_repository_release
         0     0% 53.85%        2ms  5.13%  open_verify
         0     0% 53.85%        2ms  5.13%  openaux
         0     0% 53.85%        2ms  5.13%  pci_get_strings
         0     0% 53.85%        2ms  5.13%  start_thread
         0     0% 53.85%        1ms  2.56%  CxxTest::ErrorPrinter::Adapter::operator<<
         0     0% 53.85%        1ms  2.56%  CxxTest::OutputStream::operator<< (inline)
         0     0% 53.85%        1ms  2.56%  CxxTest::TestRunner::runSuite (inline)
         0     0% 53.85%        1ms  2.56%  CxxTest::TestTracker::enterSuite (inline)
         0     0% 53.85%        1ms  2.56%  PetscErrorPrintfInitialize
         0     0% 53.85%        1ms  2.56%  PetscGetDate
         0     0% 53.85%        1ms  2.56%  PetscInitialize_Common
       1ms  2.56% 56.41%        1ms  2.56%  [[vdso]]
         0     0% 56.41%        1ms  2.56%  _IO_new_do_write
         0     0% 56.41%        1ms  2.56%  _IO_new_file_fopen
         0     0% 56.41%        1ms  2.56%  _IO_new_file_sync
         0     0% 56.41%        1ms  2.56%  _IO_new_file_write
         0     0% 56.41%        1ms  2.56%  _IO_new_fopen
         0     0% 56.41%        1ms  2.56%  __GI__Fork
         0     0% 56.41%        1ms  2.56%  __GI__IO_fflush
         0     0% 56.41%        1ms  2.56%  __GI__IO_file_open
       1ms  2.56% 58.97%        1ms  2.56%  __GI__IO_file_xsgetn
       1ms  2.56% 61.54%        1ms  2.56%  __GI___close
         0     0% 61.54%        1ms  2.56%  __GI___fread_unlocked
       1ms  2.56% 64.10%        1ms  2.56%  __GI___fstatat64
       1ms  2.56% 66.67%        1ms  2.56%  __GI___libc_write
       1ms  2.56% 69.23%        1ms  2.56%  __GI___mmap64
         0     0% 69.23%        1ms  2.56%  __GI___strdup
       1ms  2.56% 71.79%        1ms  2.56%  __GI_mprotect
       1ms  2.56% 74.36%        1ms  2.56%  __GI_socket
         0     0% 74.36%        1ms  2.56%  ___asprintf_chk
         0     0% 74.36%        1ms  2.56%  __check_pf
         0     0% 74.36%        1ms  2.56%  __fopen_internal (inline)
         0     0% 74.36%        1ms  2.56%  __libc_fork
       1ms  2.56% 76.92%        1ms  2.56%  __libc_open64
       1ms  2.56% 79.49%        1ms  2.56%  __libc_openat64
       1ms  2.56% 82.05%        1ms  2.56%  __libc_sendto
       1ms  2.56% 84.62%        1ms  2.56%  __memchr_avx2
       1ms  2.56% 87.18%        1ms  2.56%  __memcpy_avx_unaligned_erms
         0     0% 87.18%        1ms  2.56%  __strcasecmp_ifunc
       1ms  2.56% 89.74%        1ms  2.56%  __strcmp_avx2
         0     0% 89.74%        1ms  2.56%  __tz_convert
         0     0% 89.74%        1ms  2.56%  __tzfile_read
         0     0% 89.74%        1ms  2.56%  __vasprintf_internal
         0     0% 89.74%        1ms  2.56%  _dl_map_object_from_fd
