File: TestRepresentativePottsBasedOnLatticeSimulation
Type: cpu
Showing nodes accounting for 3827ms, 76.89% of 4977ms total
Dropped 782 nodes (cum <= 24.89ms)
      flat  flat%   sum%        cum   cum%
         0     0%     0%     4740ms 95.24%  __libc_start_call_main
         0     0%     0%     4740ms 95.24%  __libc_start_main_impl
         0     0%     0%     4740ms 95.24%  _start
         0     0%     0%     4725ms 94.94%  CxxTest::ErrorFormatter::run (inline)
         0     0%     0%     4725ms 94.94%  CxxTest::TestRunner::runAllTests (inline)
         0     0%     0%     4725ms 94.94%  CxxTest::TestRunner::runWorld (inline)
         0     0%     0%     4725ms 94.94%  main
         0     0%     0%     4686ms 94.15%  CxxTest::TestRunner::runSuite (inline)
         0     0%     0%     4686ms 94.15%  CxxTest::TestRunner::runTest (inline)
         0     0%     0%     4686ms 94.15%  TestRepresentativePottsBasedOnLatticeSimulation::TestPottsMonolayerCellSorting
         0     0%     0%     4675ms 93.93%  AbstractCellBasedSimulation::Solve
         0     0%     0%     4356ms 87.52%  AbstractCellPopulation::WriteResultsToFiles
      11ms  0.22%  0.22%     4115ms 82.68%  PottsBasedCellPopulation::WriteVtkResultsToFile
         0     0%  0.22%     1977ms 39.72%  VertexMeshWriter::WriteVtkUsingMesh
       4ms  0.08%   0.3%     1699ms 34.14%  VertexMeshWriter::MakeVtkMesh
         0     0%   0.3%     1274ms 25.60%  vtkPolygon::New
       1ms  0.02%  0.32%     1271ms 25.54%  vtkPolygon::vtkPolygon
       7ms  0.14%  0.46%      945ms 18.99%  vtkCell::vtkCell
       5ms   0.1%  0.56%      822ms 16.52%  vtkPoints::New
       1ms  0.02%  0.58%      799ms 16.05%  VertexMeshWriter::WriteFiles
      16ms  0.32%   0.9%      777ms 15.61%  vtkPoints::vtkPoints
       2ms  0.04%  0.94%      776ms 15.59%  std::ostream::operator<< (inline)
      55ms  1.11%  2.05%      774ms 15.55%  std::ostream::_M_insert
       3ms  0.06%  2.11%      656ms 13.18%  vtkQuad::New
       3ms  0.06%  2.17%      649ms 13.04%  vtkQuad::vtkQuad
      47ms  0.94%  3.11%      641ms 12.88%  std::num_put::_M_insert_float
      37ms  0.74%  3.86%      634ms 12.74%  operator new
     200ms  4.02%  7.88%      607ms 12.20%  __GI___libc_malloc
       1ms  0.02%  7.90%      597ms 12.00%  vtkLine::New
         0     0%  7.90%      585ms 11.75%  vtkStreamingDemandDrivenPipeline::Update
         0     0%  7.90%      585ms 11.75%  vtkXMLWriterBase::Write
         0     0%  7.90%      582ms 11.69%  vtkDemandDrivenPipeline::ProcessRequest
         0     0%  7.90%      582ms 11.69%  vtkExecutive::CallAlgorithm
       9ms  0.18%  8.08%      582ms 11.69%  vtkLine::vtkLine
         0     0%  8.08%      582ms 11.69%  vtkStreamingDemandDrivenPipeline::ProcessRequest
         0     0%  8.08%      581ms 11.67%  vtkCompositeDataPipeline::ExecuteData
         0     0%  8.08%      581ms 11.67%  vtkDemandDrivenPipeline::ExecuteData
         0     0%  8.08%      581ms 11.67%  vtkXMLUnstructuredDataWriter::ProcessRequest
       1ms  0.02%  8.10%      567ms 11.39%  vtkTriangle::New
       6ms  0.12%  8.22%      560ms 11.25%  vtkTriangle::vtkTriangle
         0     0%  8.22%      519ms 10.43%  vtkXMLUnstructuredDataWriter::WriteAPiece
         0     0%  8.22%      519ms 10.43%  vtkXMLUnstructuredGridWriter::WriteAppendedPieceData
       5ms   0.1%  8.32%      497ms  9.99%  std::__cxx11::collate::do_transform
     146ms  2.93% 11.25%      490ms  9.85%  __GI___libc_free
      26ms  0.52% 11.77%      481ms  9.66%  vtkPoints::SetDataType
       9ms  0.18% 11.95%      476ms  9.56%  ___vsnprintf
         0     0% 11.95%      467ms  9.38%  __vsnprintf_internal (inline)
      63ms  1.27% 13.22%      456ms  9.16%  __printf_buffer
         0     0% 13.22%      453ms  9.10%  vtkXMLWriter::WriteBinaryData
         0     0% 13.22%      444ms  8.92%  vtkXMLWriter::WriteBinaryDataBlock
         0     0% 13.22%      444ms  8.92%  vtkXMLWriter::WriteBinaryDataInternal
         0     0% 13.22%      441ms  8.86%  vtkXMLUnstructuredDataWriter::WriteAppendedPieceData
         0     0% 13.22%      375ms  7.53%  AbstractTetrahedralMeshWriter::WriteFilesUsingMesh
       1ms  0.02% 13.24%      373ms  7.49%  vtkPolygon::~vtkPolygon
         0     0% 13.24%      372ms  7.47%  VtkMeshWriter::WriteFiles
       2ms  0.04% 13.28%      356ms  7.15%  __printf_fp_spec (inline)
      20ms   0.4% 13.68%      354ms  7.11%  __printf_fp_l_buffer
     227ms  4.56% 18.24%      343ms  6.89%  _int_free
     232ms  4.66% 22.91%      335ms  6.73%  _int_malloc
         0     0% 22.91%      329ms  6.61%  vtkXMLWriter::WritePointsAppendedData
     155ms  3.11% 26.02%      317ms  6.37%  __printf_fp_buffer_1
         0     0% 26.02%      314ms  6.31%  OnLatticeSimulation::UpdateCellLocationsAndTopology
       9ms  0.18% 26.20%      314ms  6.31%  PottsBasedCellPopulation::UpdateCellLocations
       6ms  0.12% 26.32%      311ms  6.25%  vtkCell::~vtkCell
      54ms  1.08% 27.41%      303ms  6.09%  vtkAOSDataArrayTemplate::vtkAOSDataArrayTemplate
      46ms  0.92% 28.33%      280ms  5.63%  std::__new_allocator::allocate (inline)
         0     0% 28.33%      276ms  5.55%  std::allocator_traits::allocate (inline)
       6ms  0.12% 28.45%      252ms  5.06%  std::__new_allocator::deallocate (inline)
         0     0% 28.45%      246ms  4.94%  std::allocator_traits::deallocate (inline)
         0     0% 28.45%      229ms  4.60%  vtkXMLWriter::WriteCompressionBlock
         0     0% 28.45%      221ms  4.44%  std::set::set (inline)
         0     0% 28.45%      220ms  4.42%  compress2
      15ms   0.3% 28.75%      220ms  4.42%  std::_Rb_tree::_Rb_tree
         0     0% 28.75%      220ms  4.42%  vtkDataCompressor::Compress
         0     0% 28.75%      220ms  4.42%  vtkZLibDataCompressor::CompressBuffer
      57ms  1.15% 29.90%      217ms  4.36%  crc32
         0     0% 29.90%      217ms  4.36%  deflate
       6ms  0.12% 30.02%      217ms  4.36%  vtkBase64OutputStream::Write
       9ms  0.18% 30.20%      211ms  4.24%  vtkBase64OutputStream::EncodeTriplet
       2ms  0.04% 30.24%      210ms  4.22%  vtkFloatArray::New
         0     0% 30.24%      208ms  4.18%  tbb::detail::r1::parallel_pipeline
      11ms  0.22% 30.46%      202ms  4.06%  vtkPoints::~vtkPoints
         0     0% 30.46%      199ms  4.00%  clone3
         0     0% 30.46%      199ms  4.00%  start_thread
       1ms  0.02% 30.48%      192ms  3.86%  tbb::detail::r1::reset
         0     0% 30.48%      191ms  3.84%  VertexMesh::~VertexMesh
       1ms  0.02% 30.50%      191ms  3.84%  vtkQuad::~vtkQuad
      93ms  1.87% 32.37%      189ms  3.80%  tbb::detail::r1::wait_bounded_queue_monitor
       3ms  0.06% 32.43%      186ms  3.74%  vtkFloatArray::vtkFloatArray
      64ms  1.29% 33.72%      179ms  3.60%  std::ostream::write
         0     0% 33.72%      174ms  3.50%  NodeLocationWriter::VisitAnyPopulation
      63ms  1.27% 34.98%      170ms  3.42%  std::_Rb_tree::_M_erase
         0     0% 34.98%      166ms  3.34%  std::_Rb_tree::_M_create_node (inline)
       1ms  0.02% 35.00%      163ms  3.28%  std::_Rb_tree::~_Rb_tree (inline)
       2ms  0.04% 35.04%      162ms  3.25%  vtkLine::GetParametricCenter
       1ms  0.02% 35.06%      159ms  3.19%  vtkTriangle::~vtkTriangle
         0     0% 35.06%      158ms  3.17%  std::_Rb_tree::_M_get_node (inline)
       6ms  0.12% 35.18%      157ms  3.15%  NodesOnlyMesh::ConstructNodesWithoutMesh
      18ms  0.36% 35.54%      157ms  3.15%  std::_Rb_tree::_M_copy (inline)
       8ms  0.16% 35.70%      157ms  3.15%  vtkIdList::AllocateInternal
       6ms  0.12% 35.82%      155ms  3.11%  std::_Vector_base::_M_deallocate (inline)
         0     0% 35.82%      153ms  3.07%  VertexMesh::VertexMesh
       6ms  0.12% 35.95%      152ms  3.05%  vtkFloatArray::~vtkFloatArray
       2ms  0.04% 35.99%      151ms  3.03%  vtkTypeFloat64Array::~vtkTypeFloat64Array
       1ms  0.02% 36.01%      149ms  2.99%  vtkDataArray::CreateDataArray
         0     0% 36.01%      148ms  2.97%  std::_Rb_tree::_Alloc_node::operator() (inline)
      85ms  1.71% 37.71%      147ms  2.95%  malloc_consolidate
         0     0% 37.71%      145ms  2.91%  std::vector::~vector (inline)
     142ms  2.85% 40.57%      144ms  2.89%  [libz.so.1.3]
       2ms  0.04% 40.61%      143ms  2.87%  AdhesionPottsUpdateRule::EvaluateHamiltonianContribution
         0     0% 40.61%      143ms  2.87%  VertexMesh::GenerateEdgesFromElements (inline)
       4ms  0.08% 40.69%      142ms  2.85%  MutableElement::BuildEdges
       5ms   0.1% 40.79%      139ms  2.79%  vtkTypeFloat64Array::New
         0     0% 40.79%      137ms  2.75%  EdgeHelper::~EdgeHelper (inline)
